ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
SUR,Suriname,15159,830,3.635389806,533.7103662,-43.75983539,,0.0017,3.95648353,6.608580258,,165,5.15,53.78445816,-0.537463546,,45.039661,-0.616697431
SWZ,Swaziland,8641,482,2.398095319,,,,0.308,3.836734772,,,,,47.78671265,-0.561272204,,40.23475942,-0.577245116
SWE,Sweden,50208,578,6.591055088,120.7896442,28.2711851,1.57251462,0.0538,5.628148079,15.04190457,75.55888367,12,8.41,89.88307953,1.798393011,88.3,71.33857043,1.837629318
CHE,Switzerland,64712,84,4.850440134,81.01288004,47.05136117,4.962871287,0.1063,6.647141933,27.13407559,84.53691101,38,8.74,91.16794586,1.883793592,81.7,70.89610309,2.056275129
SYR,Syrian Arab Republic,,,1.46057601,,47.833735,,,4.061744008,,,179,3.34,50.97021484,-1.827265263,,38.96968992,-1.787540793
TWN,"Taiwan, China",,,,,,,0.1348,,,,13,,,1.369394064,44.6,,1.269582629
TJK,Tajikistan,3195,21,0.968447238,2023.784944,36.24549558,,0.7028,4.173213959,,,126,,46.36359024,-1.060233712,,42.67417813,-1.120500088
TZA,Tanzania,2946,235,1.466763219,6021.109213,10.72806025,,0.0745,3.587766409,,,144,1.81,50.79416275,-0.579316974,,37.04061433,-0.629401565
THA,Thailand,17872,503,2.492449712,1107.792269,41.56815174,,0.9669,4.129854202,2.771080673,32.67467117,27,5.67,71.33774567,0.140795797,35.9,53.42165147,0.384620816
TMP,Timor-Leste,,,0.566357047,,,,0.0038,,1.228880479,,178,3.57,47.40231323,-0.739334941,,,-0.996655881
TGO,Togo,1660,79,1.106773529,5916.371386,19.97162295,,0.0198,,,,137,2.15,51.94613266,-0.789896846,,37.9301832,-1.125331759
TON,Tonga,5957,205,3.302010847,,,,1.5709,,1.791704164,,91,4.34,48.8466835,-0.396795779,,41.16630764,-0.217460796
TTO,Trinidad and Tobago,31578,419,6.689615088,2405.010409,-102.6627373,8.755208333,0.0067,4.331965923,,,105,6.04,65.26992035,0.025116697,,48.56528353,0.259738058
TUN,Tunisia,11911,79,2.172339815,881.8268548,36.19587142,76.68653159,0.0724,3.687209606,,44.59070969,80,4.82,67.30207062,-0.411648721,,49.66624297,-0.0688245
TUR,Turkey,26519,113,3.20786067,510.0630865,74.20811136,18.4845815,0.0321,4.976790428,1.284115611,34.26784897,43,6.08,70.51125336,0.03514063,4,56.64876149,0.070511587
TKM,Turkmenistan,17993,160,5.563078698,2621.376263,-191.5113368,,,,2.123208869,,,,42.02371597,-2.000808716,,40.29827773,-1.213454843
TUV,Tuvalu,3925,613,,137.8925466,,,8.5,,,,,,,-0.789098918,,0,-0.743160844
UGA,Uganda,1864,118,1.186947869,3294.229134,,1.633333333,0.254,3.330399275,1.596663907,,127,2.19,52.90216064,-0.22245419,,35.78111717,-0.584205806
UKR,Ukraine,8667,568,2.963994838,2304.406227,27.20850822,26.95099819,0.0538,3.618416786,37.18864751,,71,5.62,74.2493515,-0.321302444,43.8,52.05841329,-0.459805757
